"ARTÍCULO","CONCEPTO","SUBCONCEPTO","DENOMINACIÓN","IMPORTE"
"70 De la Administración General del Estado","700 Del Ministerio Educación, Cultura y Deporte",70000,"Para investigación científica",25000000
"70 De la Administración General del Estado","700 Del Ministerio Educación, Cultura y Deporte",70001,"Para equipam, Campus Ceuta y Melilla",0
"70 De la Administración General del Estado","700 Del Ministerio Educación, Cultura y Deporte",70007,"Cofinanciación Progr.Operativ.FEDER ",0
"70 De la Administración General del Estado","701 De otros Ministerios",70100,"Para investigación científica",95000
"70 De la Administración General del Estado","702 Del Ministerio de Ciencia e Innovación",70200," INNPLANTA Conv. 2012",0
"71 De Organismos Autónomos Administrativos","710 De Organismos autónomos estatales",71000,"Del Instituto de Salud Carlos III",200000
"71 De Organismos Autónomos Administrativos","710 De Organismos autónomos estatales",71001,"Del Instituto de la Mujer",15000
"71 De Organismos Autónomos Administrativos","710 De Organismos autónomos estatales",71002,"Del Instituto Nacional Invest.Agrarias",40000
"71 De Organismos Autónomos Administrativos","710 De Organismos autónomos estatales",71003,"Del Consejo Superior de Deportes",0
"71 De Organismos Autónomos Administrativos","710 De Organismos autónomos estatales",71004,"De la A.E.C.I.",0
"71 De Organismos Autónomos Administrativos","710 De Organismos autónomos estatales",71005,"Del C.S.I.C.",60000
"71 De Organismos Autónomos Administrativos","711 De Organismos autónomos Junta Andalucía",71101,"Instituto Andaluz de la Mujer",0
"71 De Organismos Autónomos Administrativos","711 De Organismos autónomos Junta Andalucía",71102,"Instituto Estadística de Andalucía",0
"74 De empresas públicas y otros entes públicos","740 De Otros Organismos",74001,"De otros organismos",0
"74 De empresas públicas y otros entes públicos","740 De Otros Organismos",74099,"De Otros Entes Públicos",0
"74 De empresas públicas y otros entes públicos","741 De Universidades",74100,"De Universidades Andaluzas",50000
"74 De empresas públicas y otros entes públicos","741 De Universidades",74199,"De Otras Universidades",150000
"75 De Comunidades Autónomas","750 Consej.Economía Innovación Ciencia y Empleo",75000,"Para investigación científica",7000000
"75 De Comunidades Autónomas","750 Consej.Economía Innovación Ciencia y Empleo",75001,"Invers. Infraestr. y Equipam J And",4416000
"75 De Comunidades Autónomas","750 Consej.Economía Innovación Ciencia y Empleo",75002,"Cofinanciación Progr.Operativ.FEDER",0
"75 De Comunidades Autónomas","750 Consej.Economía Innovación Ciencia y Empleo",75003,"Proyecto Universidad Digital",0
"75 De Comunidades Autónomas","750 Consej.Economía Innovación Ciencia y Empleo",75007,"Financ Operat Investig",103098299
"75 De Comunidades Autónomas","750 Consej.Economía Innovación Ciencia y Empleo",75008,"Fortalecimiento 2014",3680168
"75 De Comunidades Autónomas","751 De otras Consejerías",75100,"De Presidencia",25000
"75 De Comunidades Autónomas","751 De otras Consejerías",75101,"De Gobernación",25000
"75 De Comunidades Autónomas","751 De otras Consejerías",75102,"De Educación",25000
"75 De Comunidades Autónomas","751 De otras Consejerías",75103,"De Justicia y Administraciones Públic",25000
"75 De Comunidades Autónomas","751 De otras Consejerías",75105,"De Empleo",58572
"75 De Comunidades Autónomas","751 De otras Consejerías",75106,"De Turismo, Comercio y Deporte",
"75 De Comunidades Autónomas","751 De otras Consejerías",75110,"De Igualdad y Bienestar Social",20000
"75 De Comunidades Autónomas","751 De otras Consejerías",75111,"De Cultura",20000
"75 De Comunidades Autónomas","759 De otras Comunidades Autónomas",75909,"De resto de Comunidades Autónomas",25000
"76 De Corporaciones Locales","760 De Diputaciones y Cabildos Insulares",76000,"De la Diputación de Granada",10000
"76 De Corporaciones Locales","760 De Diputaciones y Cabildos Insulares",76099,"De otras Diputaciones Provinciales",10000
"76 De Corporaciones Locales","761 De Ayuntamientos",76100,"Del Ayuntamiento de Granada",10000
"77 De empresas privadas","770 De entidades financieras",77001,"De Caja Granada",0
"77 De empresas privadas","770 De entidades financieras",77002,"Del BSCH",500000
"77 De empresas privadas","770 De entidades financieras",77003,"De Caja Rural",250000
"77 De empresas privadas","779 De otras empresas (cátedras)","779,01","De otras empresas",1000000
"77 De empresas privadas","779 De otras empresas (cátedras)","779,01","De otras empresas (cátedras)",200000
"78 De familias e instituciones sin fines de lucro","781 De instituciones y fundaciones",78100,"Para investigación científica",200000
"79 Del exterior","795 Otras transferencias de la Unión Europea",79500,"Para investigación científica",12000000
