GRADUADO/A EN BIOLOGÍA,,,,,30
GRADUADO/A EN ODONTOLOGÍA,,,,,
GRADUADO/A EN NUTRICIÓN HUMANA Y DIETÉTICA,,,,,"31,31"
GRADUADO/A EN CIENCIA Y TECNOLOGÍA DE LOS ALIMENTOS,,,,,
GRADUADO/A EN FARMACIA,,,,,
GRADUADO/A EN INGENIERÍA ELECTRÓNICA INDUSTRIAL,,,,,
GRADUADO/A EN CIENCIAS AMBIENTALES,,,,,"47,37"
GRADUADO/A EN ENFERMERÍA,,,,,"23,2"
GRADUADO/A EN GEOGRAFÍA Y GESTIÓN DEL TERRITORIO,,,,,"50,91"
GRADUADO/A EN ARQUITECTURA,,,,,
GRADO EN INGENIERÍA EN EDIFICACIÓN (CURSO PUENTE),,,,,
GRADUADO/A EN CIENCIAS POLÍTICAS Y DE LA ADMINISTRACIÓN,,,,,"48,3"
GRADUADO/A EN CIENCIAS POLÍTICAS Y DE LA ADMINIST. Y DERECHO,,,,,
GRADUADO/A EN SOCIOLOGÍA,,,,,"51,91"
GRADUADO/A EN INGENIERÍA QUÍMICA,,,,,"45,05"
GRADUADO/A EN INGENIERÍA DE TECNOLOGÍAS DE TELECOMUNICACIÓN,,,,,"23,66"
GRADUADO/A EN MEDICINA,,,,,
GRADUADO/A EN ESTADÍSTICA,,,,,"62,3"
GRADUADO/A EN COMUNICACIÓN AUDIOVISUAL,,,,,"30,77"
GRADUADO/A EN ADMINISTRACIÓN Y DIRECCIÓN DE EMPRESAS-DERECHO,,,,,
GRADUADO/A EN EDIFICACIÓN,,,,,"26,47"
GRADUADO/A EN INFORMACIÓN Y DOCUMENTACIÓN,,,,,"41,18"
GRADUADO/A EN FINANZAS Y CONTABILIDAD,,,,,"23,2"
GRADUADO/A EN ADMINISTRACIÓN Y DIRECCIÓN DE EMPRESAS,,,,,"22,73"
GRADUADO/A EN MARKETING E INVESTIGACIÓN DE MERCADOS,,,,,"34,88"
GRADUADO/A EN INGENIERÍA CIVIL,,,,,"19,35"
GRADUADO/A EN TURISMO,,,,,"30,37"
GRADUADO/A EN ECONOMÍA,,,,,"33,05"
GRADUADO/A EN FISIOTERAPIA,,,,,"17,65"
GRADUADO/A EN DERECHO,,,,,"28,6"
GRADUADO/A EN TERAPIA OCUPACIONAL,,,,,"24,14"
GRADUADO/A EN EDUCACIÓN SOCIAL,,,,,"32,52"
GRADUADO/A EN CRIMINOLOGÍA,,,,,
GRADUADO/A EN TRABAJO SOCIAL,,,,,"38,64"
GRADUADO/A EN BIOTECNOLOGÍA,,,,,
GRADUADO/A EN TRADUCCIÓN E INTERPRETACIÓN,,,,,"15,54"
GRADUADO/A EN EDUCACIÓN PRIMARIA (BILINGÜE),,,,,
GRADUADO/A EN EDUCACIÓN PRIMARIA,,,,,"17,11"
GRADUADO/A EN EDUCACIÓN INFANTIL,,,,,"15,92"
GRADUADO/A EN RELACIONES LABORALES Y RECURSOS HUMANOS,,,,,"37,13"
GRADUADO/A EN BELLAS ARTES,,,,,"27,93"
GRADUADO/A EN BIOQUÍMICA,,,,,"26,79"
GRADUADO/A EN FILOSOFÍA,,,,,"51,52"
GRADUADO/A EN PSICOLOGÍA,,,,,"19,23"
GRADUADO/A EN CONSERVACIÓN Y RESTAURACIÓN DE BIENES CULTURAL,,,,,"32,08"
GRADUADO/A EN ARQUEOLOGÍA,,,,,
GRADUADO/A EN FÍSICA,,,,,"48,75"
GRADUADO/A EN GEOLOGÍA,,,,,"51,47"
GRADUADO/A EN MATEMÁTICAS,,,,,"49,12"
GRADUADO/A EN LENGUAS MODERNAS Y SUS LITERATURAS,,,,,"35,09"
GRADUADO/A EN FILOLOGÍA CLÁSICA,,,,,"57,89"
GRADUADO/A EN ESTUDIOS FRANCESES,,,,,"54,29"
GRADUADO/A EN ESTUDIOS ÁRABES E ISLÁMICOS,,,,,"48,39"
GRADUADO/A EN FILOLOGÍA HISPÁNICA,,,,,"33,33"
GRADUADO/A EN ESTUDIOS INGLESES,,,,,"25,71"
GRADUADO/A EN LOGOPEDIA,,,,,"37,1"
GRADUADO/A EN ÓPTICA Y OPTOMETRÍA,,,,,"21,67"
GRADUADO/A EN CIENCIAS DE LA ACTIVIDAD FÍSICA Y DEL DEPORTE,,,,,"17,93"
GRADUADO/A EN LITERATURAS COMPARADAS,,,,,"54,84"
GRADUADO/A EN QUÍMICA,,,,,"37,18"
